Index,MeanRedund,StdevRedund,SSM,Pop_Ix,Genre
138,50.19966915,13.62450475,,47,Pop
139,57.49233564,11.03353604,,38,Pop
140,58.12883025,11.69138458,,46,Pop
141,50.2427836,12.67445574,,46,Pop
142,62.54901961,10.76265768,,26,Pop
143,65.75212777,10.66910369,,48,Pop
144,58.20859993,11.45944382,,26,Pop
145,57.6643366,12.17558091,,49,Pop
146,59.27801616,11.8624917,,38,Pop
147,52.54195065,12.85973102,,43,Pop
148,47.2023988,11.29430979,,50,Pop
149,56.5238829,10.89169353,,33,Pop
150,55.29999155,12.03414644,,48,Pop
151,55.83444409,12.4109689,,31,Pop
152,59.71447986,11.75029908,,50,Pop
153,48.75990034,11.803373,,50,Pop
154,53.25370244,10.8997587,,34,Pop
155,53.01567859,11.92892621,,44,Pop
156,56.16691237,12.99355927,,34,Pop
157,64.31216973,10.56007804,,50,Pop
158,56.62741561,13.2736449,,43,Pop
159,56.65738095,12.58520772,,37,Pop
160,56.2057287,12.67675055,,50,Pop
161,60.3640104,11.60383577,,44,Pop
162,58.91781797,10.23130566,,33,Pop
163,49.94767184,12.32210277,,35,Pop
164,65.86095757,10.49062821,,48,Pop
165,50.77537692,12.80469951,,47,Pop
166,49.89938484,12.61145869,,56,Pop
167,54.63653121,11.06329155,,58,Pop
168,56.64313891,12.69173642,,58,Pop
169,53.3560199,12.48647491,,59,Pop
170,54.79877316,13.09286982,,51,Pop
171,55.27815714,12.94163575,,51,Pop
172,62.61317176,10.22141276,,60,Pop
173,50.48466959,12.92252266,,55,Pop
174,57.43258502,11.2632646,,60,Pop
175,53.94640394,13.44001883,,58,Pop
176,55.60854573,12.37698033,,53,Pop
177,47.05691531,12.58942622,,57,Pop
178,55.88500108,12.52898434,,58,Pop
179,53.91382498,12.53780469,,58,Pop
180,61.62321883,10.67460444,,57,Pop
181,56.55889872,11.13349769,,57,Pop
182,61.02846212,10.91578745,,54,Pop
183,58.01580324,11.51670965,,53,Pop
184,60.65418007,11.1416286,,60,Pop
185,51.15705301,13.41193857,,55,Pop
186,52.16951901,12.9539147,,58,Pop
187,61.57672241,10.98461121,,57,Pop
188,55.14075055,12.83072211,,60,Pop
190,56.10734676,12.25775452,,55,Pop
191,57.92864187,11.55237474,,60,Pop
192,59.57133211,11.31577454,,59,Pop
193,51.61929759,11.17735125,,60,Pop
194,59.29294606,11.85648704,,58,Pop
